1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
rm_key,Loan_Closed_Date,census_block_order_key,foa_mgmt_co_dim_key,owner_key,Principal Program Detail Code,Stmt_date,Financial Rating Letter Grade,DSC_Ratio_II,Current_Ratio,Total Total Funds Flow Prior to CE & D/S (Line 62),Total Replacement Reserve Reimbursements (Line 18A),Total Interest Income Earned on R/R and Special Escrow (Line 78),Total Gross Debt Service - Mortgage (MHFA) (Line 66),Total Gross Debt Service - Energy Loans (Line 68),Total Current Assets (Line 230),Total Current Liabilities (Line 280),Current Portion of Mortgage Payable (Line 251),Notes & Advances - due within 1 year (Line 252),Gross Sf Residential,Gross Sf Residential Communal,Gross Sf Residential Noncommunal,Gross Sf Commercial,Gross Sf Unfinished Space,Gross Sf Parking Structure,Square Footage Net Rentable,Square Footage Residential Net Rentable,Square Footage Commercial Net Rentable,Number Of Buildings,Number Of Predominant Stories,Number Of Elevators,Total Gross Sf Land,Total Gross Sf Buildings,Total Rental Units,Low Income Rental Units,Moderate Income Rental Units,Market Rate Rental Units,Non_revenue Rental Units,Elderly Restricted Rental Units,Unrestricted Rental Units,Student Rental Units,Other Restricted Rental Units,Fully Access Handicapped Rental Units,Partially Access Handicapped Rental Units,Average Bedroom Density,Studio Rental Units,One Bedroom Rental Units,Two Bedroom Rental Units,Three Bedroom Rental Units,Four Bedroom Rental Units,Five Bedroom Rental Units,Six Bedroom Rental Units,
800,4/1/77,831,89,114,S8NCON,12/31/99,A,1.76,2.78,"1,212,745",0,"41,843","665,830",0,"440,462","391,186","232,953",0,"158,781","2,120","156,661","10,058",0,0,"115,599","106,048","9,551",1,14,2,0,"168,839",188,188,0,0,0,188,0,0,0,20,0,0.78,54,121,13,0,0,0,0,
801,10/15/75,483,66,8,S8SUBR,12/31/99,C,0.7,1.46,"461,083","138,667","22,248","429,890",0,"283,503","421,026","227,166",0,"130,135",0,"130,135",0,0,0,"82,820","82,820",0,1,5,1,"202,004","130,135",109,81,28,0,0,109,0,0,0,11,0,1.11,0,97,12,0,0,0,0,
802,8/13/80,1284,148,111,S8NCON,12/31/99,A,1.41,4.66,"740,257","68,230","12,520","469,051",0,"539,372","287,482","171,767",0,"108,411","16,827","91,584",0,0,360,"99,290","99,290",0,6,3,2,"1,104,682","108,771",130,129,0,1,0,79,51,0,0,15,0,1.65,0,58,60,12,0,0,0,
803,6/26/75,988,223,82,SEC13A,12/31/99,A,1.11,2.94,"155,900","15,370","3,031","123,687",0,"255,200","126,296","39,452",0,"50,487","9,279","41,208","1,500",0,"3,877","41,208","39,708","1,500",4,4,0,"42,167","55,864",49,13,36,0,0,0,49,0,0,9,0,1.69,0,24,17,7,1,0,0,
804,4/2/77,828,89,114,S8NCON,12/31/99,A,2.37,4.36,"1,524,247",0,"57,724","618,406",0,"836,287","425,500","233,722",0,"180,575","2,120","178,455","10,058",0,0,"131,415","121,864","9,551",1,16,2,"22,467","190,633",216,216,0,0,0,216,0,0,0,22,0,0.78,62,139,15,0,0,0,0,
805,11/19/74,723,80,39,SEC13A,12/31/99,C,0.88,6.34,"432,966","45,854","35,915","400,264",0,"760,416","230,264","110,379",0,"173,237","12,164","161,073",0,344,"7,008","155,280","155,280",0,12,3,0,"633,834","180,589",176,44,88,44,0,0,176,0,0,0,0,1.75,0,84,60,24,8,0,0,
806,7/21/76,536,143,152,S8NCON,12/31/99,A,0.96,1.72,"567,616",0,"28,690","559,367",0,"321,383","398,511","211,545",0,"108,416",0,"108,416",0,0,0,"89,500","89,500",0,1,11,0,0,"108,416",130,129,0,1,0,129,1,0,0,7,0,1.15,0,110,20,0,0,0,0,
808,5/15/75,194,229,15,M2WDEC,12/31/99,C,0.94,0.94,"334,394","16,525","4,527","332,830",0,"162,539","257,607","84,555",0,"104,521","24,493","80,028",0,"8,269",0,"84,900","84,900",0,1,10,2,"75,702","112,790",130,52,78,0,0,130,0,0,0,13,0,1,10,110,10,0,0,0,0,
809,5/15/75,1022,93,140,S8SUBR,12/31/99,A,1.11,1.29,"866,216","182,509","36,092","582,869",0,"500,367","564,358","175,237",0,"241,320","36,597","204,723","1,859","26,611","5,774","184,219","182,360","1,859",17,3,3,"153,184","275,564",220,156,0,64,0,0,220,0,0,0,0,1.81,0,95,99,10,5,11,0,
