rm_key,Loan_Closed_Date,census_block_order_key,foa_mgmt_co_dim_key,owner_key,Principal Program Detail Code,Stmt_date,Financial Rating Letter Grade,DSC_Ratio_II,Current_Ratio,Total Total Funds Flow Prior to CE & D/S (Line 62),Total Replacement Reserve Reimbursements (Line 18A),Total Interest Income Earned on R/R and Special Escrow (Line 78),Total Gross Debt Service - Mortgage (MHFA) (Line 66),Total Gross Debt Service - Energy Loans (Line 68),Total Current Assets (Line 230),Total Current Liabilities (Line 280),Current Portion of Mortgage Payable (Line 251),Notes & Advances - due within 1 year (Line 252),Gross Sf Residential,Gross Sf Residential Communal,Gross Sf Residential Noncommunal,Gross Sf Commercial,Gross Sf Unfinished Space,Gross Sf Parking Structure,Square Footage Net Rentable,Square Footage Residential Net Rentable,Square Footage Commercial Net Rentable,Number Of Buildings,Number Of Predominant Stories,Number Of Elevators,Total Gross Sf Land,Total Gross Sf Buildings,Total Rental Units,Low Income Rental Units,Moderate Income Rental Units,Market Rate Rental Units,Non_revenue Rental Units,Elderly Restricted Rental Units,Unrestricted Rental Units,Student Rental Units,Other Restricted Rental Units,Fully Access Handicapped Rental Units,Partially Access Handicapped Rental Units,Average Bedroom Density,Studio Rental Units,One Bedroom Rental Units,Two Bedroom Rental Units,Three Bedroom Rental Units,Four Bedroom Rental Units,Five Bedroom Rental Units,Six Bedroom Rental Units
252,3/6/2003,496,258,13,INTERN,12/31/2004,A,0.87,2.4,"1,212,795",0,"2,331","1,389,391",0,"481,438","303,491","102,898",0,"143,267",,"143,267",,,,0,,,6,3,0,,"143,267",120,24,0,96,0,0,120,0,0,0,0,1.7,0,48,60,12,0,0,0
252,3/6/2003,496,258,13,INTERN,12/31/2005,C,0.81,1.42,"1,136,966","13,495","3,093","1,389,013",0,"449,279","424,632","109,294",0,"143,267",,"143,267",,,,0,,,6,3,0,,"143,267",120,24,0,96,0,0,120,0,0,0,0,1.7,0,48,60,12,0,0,0
252,3/6/2003,496,258,13,INTERN,12/31/2006,C,0.84,1.24,"1,192,370","20,543","5,086","1,388,574",0,"383,813","426,439","116,730",0,"143,267",,"143,267",,,,0,,,6,3,0,,"143,267",120,24,0,96,0,0,120,0,0,0,0,1.7,0,48,60,12,0,0,0
252,3/6/2003,496,258,13,INTERN,12/31/2007,C,0.85,1.22,"1,231,615","48,137","6,221","1,388,129",0,"350,345","411,466","124,671",0,"143,267",,"143,267",,,,0,,,6,3,0,,"143,267",120,24,0,96,0,0,120,0,0,0,0,1.7,0,48,60,12,0,0,0
252,3/6/2003,496,258,13,INTERN,12/31/2008,C,0.8,1.53,"1,177,888","57,553","3,708","1,387,676",0,"426,254","412,605","133,153",0,"143,267",,"143,267",,,,0,,,6,3,0,,"143,267",120,24,0,96,0,0,120,0,0,0,0,1.7,0,48,60,12,0,0,0
252,3/6/2003,496,258,13,INTERN,12/31/2009,C,0.68,1.27,"981,067","39,167","1,310","1,389,902",0,"335,156","406,903","142,212",0,"143,267",,"143,267",,,,0,,,6,3,0,,"143,267",120,24,0,96,0,0,120,0,0,0,0,1.7,0,48,60,12,0,0,0
256,5/9/2002,1001,26,125,S8SUBR,12/31/2003,A,1.15,1.77,"654,505",0,"13,136","556,250",0,"622,237","630,617","31,717","247,662","94,000",0,"94,000",,,,0,,,5,5,1,,"94,000",98,98,0,0,0,0,98,0,0,6,0,1.46,3,51,40,4,0,0,0
256,5/9/2002,1001,26,125,S8SUBR,12/31/2004,A,1.33,2.63,"846,337","54,892","12,872","584,330",0,"665,141","292,084","38,948",0,"94,000",0,"94,000",,,,0,,,5,5,1,,"94,000",98,98,0,0,0,0,98,0,0,6,0,1.46,3,51,40,4,0,0,0
256,5/9/2002,1001,26,125,S8SUBR,12/31/2005,A,1.07,2.09,"705,372","94,166","12,259","557,300",0,"540,963","300,683","41,660",0,"94,000",0,"94,000",,,,0,,,5,5,1,,"94,000",98,98,0,0,0,0,98,0,0,6,0,1.46,3,51,40,4,0,0,0
256,5/9/2002,1001,26,125,S8SUBR,12/31/2006,A,1.02,1.64,"756,473","145,306","16,426","584,300",0,"526,339","365,008","44,561",0,"94,000",0,"94,000",,,,0,,,5,5,1,,"94,000",98,98,0,0,0,0,98,0,0,6,0,1.46,3,51,40,4,0,0,0
