rm_key,Loan_Closed_Date,census_block_order_key,foa_mgmt_co_dim_key,owner_key,Principal Program Detail Code,Stmt_date,Financial Rating Letter Grade,DSC_Ratio_II,Current_Ratio,Total Total Funds Flow Prior to CE & D/S (Line 62),Total Replacement Reserve Reimbursements (Line 18A),Total Interest Income Earned on R/R and Special Escrow (Line 78),Total Gross Debt Service - Mortgage (MHFA) (Line 66),Total Gross Debt Service - Energy Loans (Line 68),Total Current Assets (Line 230),Total Current Liabilities (Line 280),Current Portion of Mortgage Payable (Line 251),Notes & Advances - due within 1 year (Line 252),Gross Sf Residential,Gross Sf Residential Communal,Gross Sf Residential Noncommunal,Gross Sf Commercial,Gross Sf Unfinished Space,Gross Sf Parking Structure,Square Footage Net Rentable,Square Footage Residential Net Rentable,Square Footage Commercial Net Rentable,Number Of Buildings,Number Of Predominant Stories,Number Of Elevators,Total Gross Sf Land,Total Gross Sf Buildings,Total Rental Units,Low Income Rental Units,Moderate Income Rental Units,Market Rate Rental Units,Non_revenue Rental Units,Elderly Restricted Rental Units,Unrestricted Rental Units,Student Rental Units,Other Restricted Rental Units,Fully Access Handicapped Rental Units,Partially Access Handicapped Rental Units,Average Bedroom Density,Studio Rental Units,One Bedroom Rental Units,Two Bedroom Rental Units,Three Bedroom Rental Units,Four Bedroom Rental Units,Five Bedroom Rental Units,Six Bedroom Rental Units
241,2/3/2005,823,319,55,S8SUBR,12/31/2006,A,1.19,4.54,"1,052,099","145,668","43,566","727,022",0,"1,420,947","380,358","67,486",0,"114,948",,"114,948",,,,0,,,4,6,2,,"114,948",97,49,12,35,1,0,97,0,0,6,0,1.82,4,28,49,13,3,0,0
241,2/3/2005,823,319,55,S8SUBR,12/31/2007,A,1.25,3.83,"1,351,323","345,888","38,910","772,888",0,"1,219,689","390,227","71,684",0,"114,948",,"114,948",,,,0,,,4,6,2,,"114,948",97,49,12,35,1,0,97,0,0,6,0,1.82,4,28,49,13,3,0,0
241,2/3/2005,823,319,55,S8SUBR,12/31/2008,A,1.27,3.24,"1,096,427","96,730","20,683","773,266",0,"1,133,359","425,568","76,144",0,"114,948",,"114,948",,,,0,,,4,6,2,,"114,948",97,49,12,35,1,0,97,0,0,6,0,1.82,4,28,49,13,3,0,0
241,2/3/2005,823,319,55,S8SUBR,12/31/2009,A,1.45,3.39,"1,205,383","77,206","7,375","772,343",0,"1,176,682","427,512","80,880",0,"114,948",,"114,948",,,,0,,,4,6,2,,"114,948",97,49,12,35,1,0,97,0,0,6,0,1.82,4,28,49,13,3,0,0
253,12/1/2001,877,89,114,S8SUBR,12/31/2001,A,0.89,7.8,"55,047",0,"3,032","58,421",0,"3,799,570","878,479","391,210",0,"111,394","25,270","86,124","15,871","4,078","1,149","94,729","78,858","15,871",1,11,2,"11,102","132,492",140,139,0,1,0,140,0,0,0,9,0,0.97,4,136,0,0,0,0,0
253,12/1/2001,877,89,114,S8SUBR,12/31/2006,D,0.93,0.62,"1,823,109","32,765","11,556","1,906,041",0,"804,978","1,895,439","590,266",0,"111,394","25,270","86,124","15,871","4,078","1,149","94,729","78,858","15,871",1,11,2,"11,102","132,492",140,139,0,1,0,140,0,0,0,9,0,0.97,4,136,0,0,0,0,0
253,12/1/2001,877,89,114,S8SUBR,12/31/2009,B,1.04,0.39,"2,106,658","130,800","4,315","1,896,350",0,"643,388","2,372,534","718,226",0,"111,394","25,270","86,124","15,871","4,078","1,149","94,729","78,858","15,871",1,11,2,"11,102","132,492",140,139,0,1,0,140,0,0,0,9,0,0.97,4,136,0,0,0,0,0
253,12/1/2001,877,89,114,S8SUBR,12/31/2007,B,1.06,0.53,"2,181,314","129,392","17,917","1,911,673",0,"663,794","1,873,688","630,188",0,"111,394","25,270","86,124","15,871","4,078","1,149","94,729","78,858","15,871",1,11,2,"11,102","132,492",140,139,0,1,0,140,0,0,0,9,0,0.97,4,136,0,0,0,0,0
253,12/1/2001,877,89,114,S8SUBR,12/31/2008,B,1.07,0.46,"2,151,824","116,328","12,840","1,898,837",0,"649,277","2,088,987","672,755",0,"111,394","25,270","86,124","15,871","4,078","1,149","94,729","78,858","15,871",1,11,2,"11,102","132,492",140,139,0,1,0,140,0,0,0,9,0,0.97,4,136,0,0,0,0,0
253,12/1/2001,877,89,114,S8SUBR,12/31/2005,B,1.09,0.93,"2,270,353","175,207","16,582","1,902,842",0,"953,907","1,573,860","552,897",0,"111,394","25,270","86,124","15,871","4,078","1,149","94,729","78,858","15,871",1,11,2,"11,102","132,492",140,139,0,1,0,140,0,0,0,9,0,0.97,4,136,0,0,0,0,0
