rm_key,Loan_Closed_Date,census_block_order_key,foa_mgmt_co_dim_key,owner_key,Principal Program Detail Code,Stmt_date,Financial Rating Letter Grade,DSC_Ratio_II,Current_Ratio,Total Total Funds Flow Prior to CE & D/S (Line 62),Total Replacement Reserve Reimbursements (Line 18A),Total Interest Income Earned on R/R and Special Escrow (Line 78),Total Gross Debt Service - Mortgage (MHFA) (Line 66),Total Gross Debt Service - Energy Loans (Line 68),Total Current Assets (Line 230),Total Current Liabilities (Line 280),Current Portion of Mortgage Payable (Line 251),Notes & Advances - due within 1 year (Line 252),Gross Sf Residential,Gross Sf Residential Communal,Gross Sf Residential Noncommunal,Gross Sf Commercial,Gross Sf Unfinished Space,Gross Sf Parking Structure,Square Footage Net Rentable,Square Footage Residential Net Rentable,Square Footage Commercial Net Rentable,Number Of Buildings,Number Of Predominant Stories,Number Of Elevators,Total Gross Sf Land,Total Gross Sf Buildings,Total Rental Units,Low Income Rental Units,Moderate Income Rental Units,Market Rate Rental Units,Non_revenue Rental Units,Elderly Restricted Rental Units,Unrestricted Rental Units,Student Rental Units,Other Restricted Rental Units,Fully Access Handicapped Rental Units,Partially Access Handicapped Rental Units,Average Bedroom Density,Studio Rental Units,One Bedroom Rental Units,Two Bedroom Rental Units,Three Bedroom Rental Units,Four Bedroom Rental Units,Five Bedroom Rental Units,Six Bedroom Rental Units
246,6/18/2004,743,482,157,S8NCON,12/31/2006,A,1.79,2.63,"300,501",0,0,"167,631",0,"197,237","95,540","17,190","3,413","15,138",,"15,138",,,,,,,3,2,0,,"15,138",48,47,0,0,1,47,0,0,1,4,0,0.75,12,36,0,0,0,0,0
252,3/6/2003,496,258,13,INTERN,12/31/2009,C,0.68,1.27,"981,067","39,167","1,310","1,389,902",0,"335,156","406,903","142,212",0,"143,267",,"143,267",,,,0,,,6,3,0,,"143,267",120,24,0,96,0,0,120,0,0,0,0,1.7,0,48,60,12,0,0,0
252,3/6/2003,496,258,13,INTERN,12/31/2008,C,0.8,1.53,"1,177,888","57,553","3,708","1,387,676",0,"426,254","412,605","133,153",0,"143,267",,"143,267",,,,0,,,6,3,0,,"143,267",120,24,0,96,0,0,120,0,0,0,0,1.7,0,48,60,12,0,0,0
252,3/6/2003,496,258,13,INTERN,12/31/2005,C,0.81,1.42,"1,136,966","13,495","3,093","1,389,013",0,"449,279","424,632","109,294",0,"143,267",,"143,267",,,,0,,,6,3,0,,"143,267",120,24,0,96,0,0,120,0,0,0,0,1.7,0,48,60,12,0,0,0
252,3/6/2003,496,258,13,INTERN,12/31/2006,C,0.84,1.24,"1,192,370","20,543","5,086","1,388,574",0,"383,813","426,439","116,730",0,"143,267",,"143,267",,,,0,,,6,3,0,,"143,267",120,24,0,96,0,0,120,0,0,0,0,1.7,0,48,60,12,0,0,0
252,3/6/2003,496,258,13,INTERN,12/31/2007,C,0.85,1.22,"1,231,615","48,137","6,221","1,388,129",0,"350,345","411,466","124,671",0,"143,267",,"143,267",,,,0,,,6,3,0,,"143,267",120,24,0,96,0,0,120,0,0,0,0,1.7,0,48,60,12,0,0,0
255,2/1/2002,928,175,108,S8NCON,12/31/2004,A,2.37,25.21,"284,469",0,"3,484","118,680",0,"528,496","105,614","84,651",0,"49,458",,"49,458",,,,,,,9,6,4,,"49,458",37,37,0,0,0,0,37,0,0,2,0,2.16,0,6,19,12,0,0,0
255,2/1/2002,928,175,108,S8NCON,12/31/2006,C,0.81,9.51,"224,732",0,"9,446","267,391",0,"531,174","150,693","94,854",0,"49,458",,"49,458",,,,,,,9,6,4,,"49,458",37,37,0,0,0,0,37,0,0,2,0,2.16,0,6,19,12,0,0,0
257,6/28/2002,1017,149,156,TCRED4,12/31/2007,B,1.1,0.49,"785,407","47,445","3,808","667,088",0,"286,798","2,057,155","52,913","1,416,187","148,425","18,127","130,298",0,"21,624","7,480","119,329","119,329",,2,4,0,"8,199","177,529",151,151,0,0,0,0,151,0,0,0,0,1.64,7,47,91,6,0,0,0
258,6/13/2002,768,229,15,TCRED4,12/31/2008,C,0.76,2.67,"1,525,747","163,804","25,377","1,757,578",0,"1,871,074","887,016","186,248",0,"217,607","29,183","188,424",0,0,"9,615",0,,,8,,,"855,446","227,222",192,40,0,152,0,0,192,0,0,0,0,1.59,0,78,114,0,0,0,0
